fecha,comunidad_autonoma,provincia,casos_confirmados,ingresos_uci,fallecidos,altas,lat,lon
2023-01-01,Andalucía,Sevilla,1658,53,27,1561,37.3886,-5.9845
2023-01-01,Aragón,Zaragoza,245,11,3,215,41.6488,-0.8891
2023-01-01,Asturias,Oviedo,180,8,4,161,43.3614,-5.8458
2023-01-01,Islas Baleares,Palma,256,10,6,225,39.5696,2.6502
2023-01-01,Canarias,Las Palmas,489,15,13,445,28.1235,-15.4134
2023-01-01,Cantabria,Santander,128,7,3,118,43.4623,-3.8044
2023-01-01,Castilla-La Mancha,Toledo,374,21,10,333,39.8628,-4.0245
2023-01-01,Castilla y León,Valladolid,540,20,13,510,41.6523,-4.7245
2023-01-01,Cataluña,Barcelona,1755,99,29,1653,41.3851,2.1734
2023-01-01,Comunidad Valenciana,Valencia,964,36,18,859,39.4699,-0.3763
2023-01-01,Extremadura,Mérida,232,7,4,216,38.916,-6.3438
2023-01-01,Galicia,Santiago,624,28,11,545,42.8782,-8.5449
2023-01-01,Madrid,Madrid,1543,85,43,1361,40.4168,-3.7038
2023-01-01,Murcia,Murcia,238,8,3,223,37.9924,-1.1307
2023-01-01,Navarra,Pamplona,118,6,1,103,42.8125,-1.6432
2023-01-01,País Vasco,Vitoria,468,14,7,434,42.8464,-2.6724
2023-01-01,La Rioja,Logroño,58,3,0,54,42.4627,-2.4449
2023-01-01,Ceuta,Ceuta,19,0,0,17,35.8891,-5.3167
2023-01-01,Melilla,Melilla,17,0,0,15,35.2923,-2.9475
2023-01-02,Andalucía,Sevilla,1981,111,54,1869,37.3886,-5.9845
2023-01-02,Aragón,Zaragoza,235,9,4,220,41.6488,-0.8891
2023-01-02,Asturias,Oviedo,191,8,2,178,43.3614,-5.8458
2023-01-02,Islas Baleares,Palma,177,8,1,151,39.5696,2.6502
2023-01-02,Canarias,Las Palmas,490,21,8,430,28.1235,-15.4134
2023-01-02,Cantabria,Santander,113,6,1,102,43.4623,-3.8044
2023-01-02,Castilla-La Mancha,Toledo,454,22,7,408,39.8628,-4.0245
2023-01-02,Castilla y León,Valladolid,555,20,6,490,41.6523,-4.7245
2023-01-02,Cataluña,Barcelona,1502,50,29,1341,41.3851,2.1734
2023-01-02,Comunidad Valenciana,Valencia,943,45,26,814,39.4699,-0.3763
2023-01-02,Extremadura,Mérida,246,13,2,227,38.916,-6.3438
2023-01-02,Galicia,Santiago,444,15,10,384,42.8782,-8.5449
2023-01-02,Madrid,Madrid,1565,90,17,1462,40.4168,-3.7038
2023-01-02,Murcia,Murcia,226,13,3,197,37.9924,-1.1307
2023-01-02,Navarra,Pamplona,109,5,1,101,42.8125,-1.6432
2023-01-02,País Vasco,Vitoria,496,22,14,439,42.8464,-2.6724
2023-01-02,La Rioja,Logroño,70,2,1,60,42.4627,-2.4449
2023-01-02,Ceuta,Ceuta,13,0,0,11,35.8891,-5.3167
2023-01-02,Melilla,Melilla,17,0,0,15,35.2923,-2.9475
2023-01-03,Andalucía,Sevilla,1615,76,35,1511,37.3886,-5.9845
2023-01-03,Aragón,Zaragoza,304,10,6,280,41.6488,-0.8891
2023-01-03,Asturias,Oviedo,231,7,3,197,43.3614,-5.8458
2023-01-03,Islas Baleares,Palma,237,11,5,216,39.5696,2.6502
2023-01-03,Canarias,Las Palmas,493,15,9,436,28.1235,-15.4134
2023-01-03,Cantabria,Santander,99,5,1,94,43.4623,-3.8044
2023-01-03,Castilla-La Mancha,Toledo,471,26,4,406,39.8628,-4.0245
